,Time,Solar8000/HR
808,1618.42,93
809,1620.42,93
810,1622.42,94
811,1624.42,94
812,1626.42,94
813,1628.42,94
814,1630.43,93
815,1632.43,93
816,1634.42,94
817,1636.42,93
818,1638.42,93
819,1640.42,93
820,1642.43,93
821,1644.42,93
822,1646.42,93
823,1648.43,93
824,1650.42,93
825,1652.42,93
826,1654.42,93
827,1656.43,94
828,1658.43,94
829,1660.43,94
830,1662.43,94
831,1664.43,94
832,1666.43,94
833,1668.43,94
834,1670.43,94
835,1672.43,94
836,1674.43,94
837,1676.43,94
838,1678.43,94
839,1680.43,94
840,1682.43,94
841,1684.43,93
842,1686.43,93
843,1688.43,93
844,1690.43,93
845,1692.43,93
846,1694.43,94
847,1696.43,94
848,1698.43,94
849,1700.43,94
850,1702.43,94
851,1704.43,94
852,1706.43,94
853,1708.43,94
854,1710.43,94
855,1712.43,94
856,1714.43,94
857,1716.43,94
858,1718.43,94
859,1720.43,94
860,1722.43,94
861,1724.43,94
862,1726.43,94
863,1728.43,95
864,1730.43,94
865,1732.43,95
866,1734.43,95
867,1736.43,95
868,1738.43,95
869,1740.43,95
870,1742.43,95
871,1744.43,94
872,1746.43,94
873,1748.43,94
874,1750.43,94
875,1752.43,94
876,1754.43,94
877,1756.43,94
878,1758.43,94
879,1760.43,94
880,1762.43,94
881,1764.44,94
882,1766.43,94
883,1768.43,94
884,1770.43,94
885,1772.44,94
886,1774.44,94
887,1776.44,94
888,1778.44,94
889,1780.44,94
890,1782.44,94
891,1784.44,94
892,1786.44,94
893,1788.44,94
894,1790.44,93
895,1792.44,94
896,1794.44,94
897,1796.44,94
898,1798.44,94
899,1800.44,95
900,1802.44,95
901,1804.44,95
902,1806.44,94
903,1808.44,93
904,1810.44,92
905,1812.44,92
906,1814.44,92
907,1816.44,93
908,1818.44,94
909,1820.44,94
910,1822.44,94
911,1824.44,94
912,1826.44,94
913,1828.44,95
914,1830.44,95
915,1832.44,95
916,1834.44,95
917,1836.44,95
918,1838.44,95
919,1840.44,95
920,1842.44,95
921,1844.44,95
922,1846.44,95
923,1848.44,95
924,1850.44,96
925,1852.44,95
926,1854.44,95
927,1856.44,95
928,1858.44,95
929,1860.44,95
930,1862.44,95
931,1864.44,95
932,1866.44,95
933,1868.45,95
934,1870.45,95
935,1872.44,95
936,1874.45,95
937,1876.45,96
938,1878.45,96
939,1880.45,96
940,1882.45,96
941,1884.45,96
942,1886.45,96
943,1888.45,96
944,1890.45,96
945,1892.45,96
946,1894.45,96
947,1896.45,96
948,1898.45,96
949,1900.45,96
950,1902.45,96
951,1904.45,96
952,1906.45,96
953,1908.45,96
954,1910.45,96
955,1912.45,96
956,1914.45,97
957,1916.45,97
958,1918.45,97
959,1920.45,97
960,1922.45,97
961,1924.45,97
962,1926.45,97
963,1928.45,97
964,1930.45,97
965,1932.45,97
966,1934.46,97
967,1936.45,97
968,1938.45,97
969,1940.45,97
970,1942.45,97
971,1944.45,97
972,1946.45,97
973,1948.45,97
974,1950.45,97
975,1952.45,97
976,1954.45,96
977,1956.46,97
978,1958.46,97
979,1960.45,96
980,1962.45,96
981,1964.46,96
982,1966.46,97
983,1968.46,97
984,1970.46,96
985,1972.46,96
986,1974.46,96
987,1976.46,96
988,1978.46,96
989,1980.46,96
990,1982.46,96
991,1984.46,96
992,1986.46,96
993,1988.46,96
994,1990.46,96
995,1992.46,96
996,1994.46,96
997,1996.46,96
998,1998.46,96
999,2000.46,96
1000,2002.46,96
1001,2004.46,96
1002,2006.46,96
1003,2008.46,96
1004,2010.46,96
1005,2012.46,96
1006,2014.46,96
1007,2016.47,96
1008,2018.46,96
1009,2020.46,96
1010,2022.47,96
1011,2024.46,96
1012,2026.46,96
1013,2028.47,96
1014,2030.46,96
1015,2032.46,96
1016,2034.46,96
1017,2036.46,96
1018,2038.46,96
1019,2040.46,96
1020,2042.46,96
1021,2044.47,96
1022,2046.47,96
1023,2048.47,96
1024,2050.47,96
1025,2052.47,96
1026,2054.47,96
1027,2056.47,96
1028,2058.47,96
1029,2060.47,96
1030,2062.47,96
1031,2064.47,96
1032,2066.47,96
1033,2068.47,96
1034,2070.47,96
1035,2072.47,96
1036,2074.47,96
1037,2076.47,96
1038,2078.47,96
1039,2080.47,96
1040,2082.47,96
1041,2084.47,96
1042,2086.47,96
1043,2088.47,96
1044,2090.47,96
1045,2092.47,96
1046,2094.47,96
1047,2096.47,96
1048,2098.47,96
1049,2100.47,96
1050,2102.47,96
1051,2104.47,96
1052,2106.47,96
1053,2108.47,96
1054,2110.47,96
1055,2112.47,96
1056,2114.47,96
1057,2116.47,96
1058,2118.47,96
1059,2120.47,96
1060,2122.47,96
1061,2124.47,96
1062,2126.47,96
1063,2128.47,96
1064,2130.47,96
1065,2132.47,96
1066,2134.47,95
1067,2136.47,95
1068,2138.47,95
1069,2140.47,95
1070,2142.48,95
1071,2144.48,96
1072,2146.47,96
1073,2148.47,95
1074,2150.47,95
1075,2152.48,95
1076,2154.48,95
1077,2156.47,95
1078,2158.47,95
1079,2160.48,95
1080,2162.47,95
1081,2164.47,95
1082,2166.47,95
1083,2168.48,95
1084,2170.47,95
1085,2172.47,95
1086,2174.48,95
1087,2176.47,95
1088,2178.47,96
1089,2180.47,96
1090,2182.47,96
1091,2184.47,95
1092,2186.47,95
1093,2188.48,94
1094,2190.47,94
1095,2192.47,94
1096,2194.48,93
1097,2196.47,93
1098,2198.47,93
1099,2200.48,93
1100,2202.48,93
1101,2204.48,93
1102,2206.48,93
1103,2208.48,93
1104,2210.48,93
1105,2212.48,93
1106,2214.48,93
1107,2216.48,93
1108,2218.48,93
1109,2220.48,93
1110,2222.48,93
1111,2224.48,93
1112,2226.48,93
1113,2228.48,93
1114,2230.48,93
1115,2232.48,92
1116,2234.48,92
1117,2236.48,92
1118,2238.48,91
1119,2240.48,91
1120,2242.48,92
1121,2244.48,92
1122,2246.48,92
1123,2248.48,92
1124,2250.48,92
1125,2252.48,92
1126,2254.48,92
1127,2256.48,92
1128,2258.48,92
1129,2260.48,92
1130,2262.48,93
1131,2264.48,93
1132,2266.48,93
1133,2268.48,93
1134,2270.48,93
1135,2272.48,93
1136,2274.48,93
1137,2276.48,93
1138,2278.48,93
1139,2280.48,93
1140,2282.48,93
1141,2284.48,93
1142,2286.48,93
1143,2288.48,93
1144,2290.48,93
1145,2292.48,93
1146,2294.48,93
1147,2296.48,93
1148,2298.48,93
1149,2300.48,93
1150,2302.48,94
1151,2304.48,94
1152,2306.48,94
1153,2308.48,94
1154,2310.48,94
1155,2312.48,93
1156,2314.48,93
1157,2316.48,93
1158,2318.48,92
1159,2320.48,92
1160,2322.48,93
1161,2324.48,93
1162,2326.48,93
1163,2328.48,93
1164,2330.48,93
1165,2332.48,93
1166,2334.48,93
1167,2336.48,93
1168,2338.48,92
1169,2340.48,92
1170,2342.48,93
1171,2344.48,93
1172,2346.48,93
1173,2348.48,93
1174,2350.48,93
1175,2352.48,93
1176,2354.48,94
1177,2356.48,94
1178,2358.48,94
1179,2360.48,94
1180,2362.49,94
1181,2364.48,94
1182,2366.49,94
1183,2368.49,93
1184,2370.49,93
1185,2372.49,93
1186,2374.49,93
1187,2376.49,93
1188,2378.49,93
1189,2380.49,93
1190,2382.49,93
1191,2384.49,93
1192,2386.49,93
1193,2388.49,93
1194,2390.49,93
1195,2392.49,93
1196,2394.49,93
1197,2396.49,93
1198,2398.49,93
1199,2400.49,93
1200,2402.49,93
1201,2404.49,94
1202,2406.49,94
1203,2408.49,94
1204,2410.49,94
1205,2412.49,94
1206,2414.49,94
1207,2416.49,94
1208,2418.49,94
1209,2420.5,94
1210,2422.49,94
1211,2424.49,94
1212,2426.49,94
1213,2428.49,93
1214,2430.49,93
1215,2432.49,93
1216,2434.49,93
1217,2436.49,93
1218,2438.5,94
1219,2440.5,94
